id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
Z AMBRELLA_2015,"A.M 8RELLA SERUM UV PROTECTION 5 IN 1  | skinexpert.id |","BARU!!! Serum Uv Protection Zenity A.M 8RELLA 5 in 1 
Sunscreen , Brightening, Moisturizer, Hydrating, Vitamin 
 
SPESIAL BUY 1 GET 1 FREE 
 
● membantu melindungi kulit dari paparan sinar matahari 
● Mencerahkan kulit wajah 
● membantu mengurangi noda hitam dikulit 
● membantu melembapkan kulit wajah 
● Kaya antioksidan 
● Menutrisi kulit wajah 
 
Aman dipakai remaja , bumil maupun busui 
BPOM NA18241700546 
 
Cara pakai : 
Tuang secukupnya pada ruas jari tangan ratakan pada seluruh wajah dan leher sebagai langkah terakhir dalam rutinitas perawatan kulit sebelum terpapar sinar matahari 
 
#serum #serumuv #sunscreen #sunscreenwajah #sunscrenviral #uvpritection #serumwajah #skinexpert",https://skinexpert.id/wp-content/uploads/2024/04/Brown-Modern-New-Product-Serum-Instagram-Post-7-1.png,https://skinexpert.id/product/a-m-8rella-serum-uv-protection-5-in-1-skinexpert-id/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",95000IDR,in stock,Z AMBRELLA_2015,,,,0,new,published,,,,,,,
Ext Mon Amour_1922,"Parfum Mon Amour Extrait De Parfum Her Sui | Skinexpert.id","Mon Amour 
Extrait De Parfum 
 
BPOM NA18230603132 
 
Size : 30ml 
 
Top : Saffron, jasmin 
 
Middle : Amberwood, ambergris 
Base : Fir resin, cedar 
 
  
 
  
 
#skienxpertid #hersui #parfum #parfumhersui #wangimanisfloral #parfumwangi #parfummewah #parfumharum #parfummanis #parfumwangimanis #parfumwangisegar #parfummurah",https://skinexpert.id/wp-content/uploads/2023/08/303.png,https://skinexpert.id/product/parfum-mon-amour-extrait-de-parfum-her-sui-skinexpert-id/,"Uncategorized","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",89000IDR,in stock,Ext Mon Amour_1922,,"https://skinexpert.id/wp-content/uploads/2023/08/333.png,https://skinexpert.id/wp-content/uploads/2023/08/cress-mask-15.png",,0,new,published,,,,,,,
ZPNX_1919,"Krim Malam Anti Aging Kulit Kusam Pure Glowing Night | Skinexpert.id","Selamat Datang di Skinexpert id 
 
☘️Krim malam untuk anda yg berkulit pori besar, kusam dan mulai muncul kerutan halus 
 
☘️Keunggulan Pure Glowing Night antara lain: 
👉 Produk Bpom NA18230107631 
👉 Aman untuk remaja, bumil dan busui 
 
☘️Manfaat Pure Glowing Night antara lain: 
✅Memudarkan tampilan pori-pori 
✅Membantu menjaga keremajaan kulit 
✅Membantu mencerahkan wajah 
 
☘️Kandungan Pure Glowing Night antara lain: 
✅ Mengandung Niacinamide dan Retinol 
✅ Pumpkin seed extract dan Opuntia Ficus-Indica Stem Extract sebagai oil control dan anti-microba 
 
📌Cara pakai : 
 
✔ Aplikasikan ke wajah secukupnya pada malam hari sebelum tidur 
 
💦Netto 20g",https://skinexpert.id/wp-content/uploads/2023/08/263.png,https://skinexpert.id/product/krim-malam-anti-aging-kulit-kusam-pure-glowing-night-skinexpert-id/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",80000IDR,in stock,ZPNX_1919,,"https://skinexpert.id/wp-content/uploads/2023/08/273.png,https://skinexpert.id/wp-content/uploads/2023/08/e.png",,0,new,published,,,,,,,
ZPMX_1917,"Krim Pagi Kulit Berminyak Kusam Pure Good Morning | Skinexpert.id","Selamat Datang di Skinexpert id 
 
☘️Keunggulan Pure Good Morning antara lain: 
👉 Produk Bpom NA18230107632 
👉 Aman untuk remaja, bumil dan busui 
 
☘️Manfaat Pure Good Morning antara lain: 
✅ Mencerahkan kulit yang kusam 
✅ Melindungi Kulit dari paparan sinar matahari 
✅ Mengontrol minyak berlebih pada kulit 
✅ Merawat pori-pori 
 
☘️Kandungan Pure Glowing Night antara lain: 
✅ Mengandung Niacinamide untuk mencerahkan 
✅ Pumpkin seed extract dan Opuntia Ficus-Indica Stem Extract sebagai oil control dan anti-microba 
 
💦Netto 20 gr 
 
📌Cara pakai : 
 
✔Bersihkan wajah, lalu oleskan krim pada wajah secukupnya keseluruh wajah . 
 
#sunscreen #morningcream",https://skinexpert.id/wp-content/uploads/2023/08/243.png,https://skinexpert.id/product/krim-pagi-kulit-berminyak-kusam-pure-good-morning-skinexpert-id/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",60000IDR,in stock,ZPMX_1917,,"https://skinexpert.id/wp-content/uploads/2023/08/253.png,https://skinexpert.id/wp-content/uploads/2023/08/e.png",,0,new,published,,,,,,,
ZTONIC_1915,"Toner Wajah Berminyak Pori Besar Pure Bright Skin Tonic | Skinexpert.id","Selamat Datang di Skinexpert id 
 
Skin tonic yang non alkohol. Skin tonic yang dapat membantu menyesuaikan pH kulit. 
 
☘️Keunggulan Pure Bright Skin Tonic antara lain: 
👉 Produk Bpom NA18231205136 
👉 Aman untuk bumil dan busui 
👉Mengandung Niacinamide, BHA, Xanthan Gum, Allantoin dan Malachite Extract 
 
💦100ml 
 
☘️Manfaat Penggunaan Toner antara lain: 
✅Refresing- membantu menyegarkan wajah 
✅Hidrating - membantu melembabkan wajah yg kering karena penggunaan obat/ krim wajah 
✅Exfoliating - membantu membersihkan kotoran diwajah yang tidak terangkat oleh sabun 
 
📌Cara pakai : 
 
✔ Tuangkan toner pada sehelai kapas kemudian usap lembut keseluruh wajah dan leher . 
✔ Gunakan 2x sehari setelah pemakaian facial wash.",https://skinexpert.id/wp-content/uploads/2023/08/301.png,https://skinexpert.id/product/toner-wajah-berminyak-pori-besar-pure-bright-skin-tonic-skinexpert-id/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",50000IDR,in stock,ZTONIC_1915,,"https://skinexpert.id/wp-content/uploads/2023/08/332.png,https://skinexpert.id/wp-content/uploads/2023/08/e.png",,0,new,published,,,,,,,
ZPFW_1912,"Sabun Wajah Kulit Berminyak Pure Love Cleanser | Skinexpert.id","Selamat Datang di Skinexpert id 
 
☘️Keunggulan Pure Love Cleanser antara lain: 
 
👉 Produk Bpom NA18231205135 
👉 Aman untuk bumil dan busui 
👉 Aroma khas alami bergamot yang menyegarkan 
 
☘️Kandungan Pure Love Cleanser antara lain: 
✅ Lactic acid untuk mencerahkan 
✅ Opuntia Ficus-Indica Stem Extract sebagai anti microba 
✅ Citrus Bergamia Peel Oil Expressed yang tinggi antioksidan 
 
☘️Manfaat Pure Love Cleanser : 
✅ Membantu menghilangkan debu dan kotoran 
✅ Membantu mengurangi minyak berlebih 
✅ Membantu mencerahkan dan merawat pori-pori 
 
📌Cara pakai : 
 
✔ Gunakan 2x sehari diaplikasikan keseluruh wajah . 
✔ Tuangkan sedikit facial wash ketangan , 
✔ Lalu tambahkan air dan basuhkan kewajah serta pemijatan secara perlahan . 
✔ Setelah itu bilas dengan air sampai bersih . 
 
#antiaging #pori #mencerahkan #paketskincare #sabunwajah #facewash",https://skinexpert.id/wp-content/uploads/2023/08/283.png,https://skinexpert.id/product/sabun-wajah-kulit-berminyak-pure-love-cleanser-skinexpert-id/,"PENGECIL PORI-PORI, ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",60000IDR,in stock,ZPFW_1912,,"https://skinexpert.id/wp-content/uploads/2023/08/302.png,https://skinexpert.id/wp-content/uploads/2023/08/e.png",,0,new,published,,,,,,,
P.Love_1901,"Paket Mencerahkan Kulit Berminyak Anti Aging Pure Love | Skinexpert.id","Selamat Datang di Skinexpert id 
 
Pure Love Series membantu mengontrol sebum, memudarkan tampilan pori, mencerahkan kulit sekaligus menjaga keremajaan kulit. 
 
️ 
Keunggulan Pure Love Series antara lain: 
Produk BPOM 
Aman untuk bumil dan busui 
Memudarkan tampilan pori 
Mencerahkan wajah 
Anti aging 
 
Isi : 
Sabun wajah 
Tonic 
Krim pagi 
Krim malam 
 
CARA PAKAI : 
 
Step 1 : Face wash , usap lembut pada wajah , pijat pelan kemudian bilas 
Step 2 : Toner , tuangkan toner kemudian oleskan dan tepuk pelan pada wajah tunggu hingga kering. 
Step 3 : Krim pagi/malam, oleskan keseluruh wajah 
 
️ 
 
Terima kasih sudah berkunjung di toko kami 
 
Happy Shopping Kak 
 
#antiaging #pori #mencerahkan #paketskincare",https://skinexpert.id/wp-content/uploads/2023/08/e.png,https://skinexpert.id/product/paket-mencerahkan-kulit-berminyak-anti-aging-pure-love-skinexpert-id/,"PENGECIL PORI-PORI, ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",200000IDR,in stock,P.Love_1901,,"https://skinexpert.id/wp-content/uploads/2023/08/263.png,https://skinexpert.id/wp-content/uploads/2023/08/243.png,https://skinexpert.id/wp-content/uploads/2023/08/301.png,https://skinexpert.id/wp-content/uploads/2023/08/283.png",,0,new,published,,,,,,,
Se Exfo_1831,"Serum Wajah Eksfoliasi Mulberry Purple Nirmala Kalyani | Skinexpert.id","Kenapa exfoliasi menjadi poin penting dalam glowing glass skin?? 
 
  Keratin tebal/kulit mati/tua memantulkan cahaya yang datang kekulit secara berantakan, sehingga pancaran kulit tidak glowing, cenderung kusam. 
  Keratin yang tebal sulit ditembus, sehingga penggunaan serum/essence/krim menjadi kurang efektif, karena penyerapan ke kulit rendah sekali. Misalnya hialuronat yang sangat baik untuk membantu menjaga kadar air dikulit, tidak bisa tembus, sehingga kulit kamu ga glowing glowing padahal udah pake macam2 skincare. 
  Kulit muda mempunyai warna yang lebih cerah, merata ,dan kenyal (namanya juga muda ya). Jadi diharapkan sel kulit kita senantiasa dalam kondisi muda dab sehat. 
 
Kulit tipis kalo di exfoliasi terus? 
 
Nope.. kulit kita itu tumbuh lho.. jadi bukan kaya tembok, diamplas lama2 tipis.. Kalo exfoliasi tidaj berlebihan, kulit malah menjadi sehat dan tidak tipis! Ingat alaminya kita memang mengalami pergantian sel kulit tiap 28hari. 
 
  Kegunaan : 
  Membantu mengangkat sel kulit mati 
  Membantu membuat wajah lebih cerah 
  Membantu mengurangi milia 
  Membantu mengurangi beruntus 
  Membantu mengurangi bekas jerawat 
 
BPOM NA 18220111125 
 
  
 
CARA PAKAI : 
 
aplikasikan ke seluruh wajah dipakai 2x seminggu pada malam hari kemudian pagi nya di bilas. Saat pemakaian serum ini tidak bisa digabung dengan krim/serum lain . Namun setelah serum ini dibilas boleh pakai krim lagi 
 
  
 
NOTE : Untuk yang sedang berjerawat aktif dan kulit sensitif di pakai 2jam saja kemudian bilas 
 
  
 
  
 
#glowingskincare #glowingglassskin #serumexfoliating #rahasiakulitglowing #skincareaman #nirmalakalyani",https://skinexpert.id/wp-content/uploads/2023/01/135.png,https://skinexpert.id/product/serum-wajah-eksfoliasi-mulberry-purple-nirmala-kalyani-skinexpert-id/,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",69000IDR,in stock,Se Exfo_1831,,"https://skinexpert.id/wp-content/uploads/2023/01/143.png",,0,new,published,,,,,,,
wc_post_id_1499,"Krim Malam Wajah Berminyak Mastic Gum Night Zenity | Skinexpert.id","Isi 10g. 
 
BPOM NA18200104891 
 
  
 
Cara pakai : 
 
Bersihkan wajah lalu oleskan krim keseluruh wajah pada malam hari sebelum tidur . 
 
  
 
Komposisi : Aqua, Glycerin, Ethylhexyl Olivate, Cyclopentasiloxane, Phenoxyethanol, Sodium Acrylates Copolymer, Acrylic polymer, Polyacrylamide, Polyglyceryl-4 Olivate, Salicylic Acid, Ethanol, C13-C14 Isoparafin, Amylopectin, Tea Tree Oil, Sodium Hyaluronate, Tetrasodium EDTA, Dextrin, Xanthan Gum, Glyceryl Laurate, Pistacia Lentiscus (Mastic) Gum, Lecithin, C9-C11 Pareth-6, Opuntia Ficus-Indica Stem Extract 
 
  
 
#krim #krimpencerah #nightcream #skincare #zenity #skinexpertid #skinexpert #krimwajah",https://skinexpert.id/wp-content/uploads/2022/10/4_1653900666458.png,https://skinexpert.id/product/krim-malam-wajah-berminyak-mastic-gum-night-zenity-skinexpert-id/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",95000IDR,in stock,wc_post_id_1499,,"https://skinexpert.id/wp-content/uploads/2022/10/PNX_1625471894607.jpg,https://skinexpert.id/wp-content/uploads/2022/10/7a233384314e8e9d3dce3ef4656d26c8_1605964449374..jpg",,0,new,published,,,,,,,
wc_post_id_1491,"Cleansing Oil Zenity Skinexpert id Facial Wash Pembersih Wajah Make up Komedo Membersihkan Minyak Ampuh BPOM","☘️Keunggulan Cleansing Oil antara lain: 
 
👉Produk Bpom 
 
👉Aman untuk bumil dan busui 
 
👉Bahan natural 
 
👉Wanginya pun natural dari sweet orange 
 
  
 
💦Netto 60 Ml 
 
BPOM NA18201203247 
 
  
 
☘️Manfaat Cleansing Oil antara lain: 
 
✅Membantu membersihkan minyak di wajah 
 
✅Menjaga kelembaban dan skin barrier kulit 
 
✅Mencerahkan wajah 
 
  
 
  
 
📌Cara pakai : 
 
✔Dipakai 1x sehari pada malam hari , sebelum cuci muka . Dipijat perlahan pakai tangan, tanpa kapas 
 
  
 
  
 
⚠️ Mohon lakukan video unboxing ketika paket diterima 
 
⚠️ Jika ada kekurangan barang ,lampirkan foto Label pengiriman dan video unboxing 
 
⚠️ Cek dahulu sebelum checkout kami tidak terima ganti Nama, Nomor, Alamat, atau barang setelah Checkout 
 
  
 
Terima kasih sudah berkunjung di toko kami😇 
 
  
 
Happy Shopping Kak😍🤗 
 
Jangan Lupa Bintang 5 ⭐️⭐️⭐️⭐️⭐️ 
 
  
 
#skinexpertid #skinexpert #zenity #cleansingoil #oil #doublecleansing #1stcleanser #PEMBERSIHMAKEUP",https://skinexpert.id/wp-content/uploads/2022/10/Cleansing_Oil_Zenity_1653183109450.jpg,https://skinexpert.id/product/cleansing-oil-zenity-skinexpert-id-facial-wash-pembersih-wajah-make-up-komedo-membersihkan-minyak-ampuh-bpom/,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",80000IDR,out of stock,wc_post_id_1491,,"https://skinexpert.id/wp-content/uploads/2022/10/NEW_CLO_1625450502129.jpg,https://skinexpert.id/wp-content/uploads/2022/10/clo_1611721982627.jpg,https://skinexpert.id/wp-content/uploads/2022/10/cp_clo_1611721982742.jpg",,0,new,published,,,,,,,
